Run Number,Std Dev (Position),Success Rate,Max Deviation X,Max Deviation Y,Max Deviation Z,Max Roll Deviation,Max Pitch Deviation,Max Yaw Deviation
run_7,0.7034663514120904,0.5,2.6881032655059443,2.871614353308516,0.07259132301340543,3.1380113989130076,0.023885597143526133,0.22742181464196592
run_6,1.3130316776134723,0.6,3.6153055004574384,3.093679114332474,0.05370515267582476,3.1408231652669434,0.030801397205150165,0.0744208022755787
run_8,1.0923508071176609,0.4,1.875626993532478,3.680208271416518,0.051293579554354096,3.1414847883076162,0.019579209009989235,0.053095942534378576
run_33,0.0,1.0,0.2008675991151847,1.6103809101596909,0.05340289425610223,3.1413695788086886,0.03107908514829424,0.01594782159990034
run_16,0.0,1.0,1.8468740424424794,0.8882715291557588,0.0335761247231261,3.140243086014312,0.000538615156025896,0.001226855841632329
run_36,0.6718812434818651,0.4,2.442049724930058,2.388425758887408,0.004067777793025584,3.1411962385049255,0.03635547524751179,0.02269863332350318
run_35,26.929787828474375,0.2,32.640066875472016,43.21875620892314,0.06688901776900025,3.141110300236265,0.013079480165808522,0.020154274983690622
run_1,9.44212475459062,0.6,5.045552336080149,31.747185221197867,0.08144639760771355,3.1405737471538155,0.050450093436172766,0.14811700822383883
run_13,0.0,1.0,1.8451969668196568,2.0491845450895596,0.005599766415684826,3.1402294921324154,0.014683332171609864,0.017696981273234914
run_4,0.8975416147771152,0.6,1.1959079095340996,3.3358073148945238,0.08758648581636663,3.1404995248600476,0.027271107018541147,0.1921315726866919
run_19,1.6101629490245561,0.4,2.1544761368444085,5.869197877017228,0.09171918517638744,3.1412285950295797,0.04015360271038459,0.09168358511580738
run_15,0.0,0.0,2.904850950233211,5.998798205153122,0.023344111915534427,3.136820515089125,0.018979055213884977,0.00034262332168263844
run_39,0.12184755288735427,0.6,2.1082161787780365,2.5086135988185134,0.06901129846529841,3.139407549814602,0.029859275967939865,0.04208002235210747
run_2,1.459833294666161,0.5,4.717375826617101,4.844596387126558,0.0596750982060783,3.1407205809254384,0.018101345462406344,0.3105626354404936
run_38,0.9741014274529739,0.4,1.126244052640942,3.2371965146374606,0.0624702603364895,3.1414695155166097,0.011007357274173145,0.07137316966959874
run_34,0.10038408421738641,0.6,0.407897064298993,3.0813850708943704,0.0752399570761213,3.1412232044695574,0.012654148733486952,0.08420853827969144
run_12,0.0,1.0,0.5789143037742832,0.26938487146108514,0.06708808682515155,3.1382411491376967,0.02312347551424729,0.020010329969490946
run_5,16.167322942206276,0.4,42.863096163062906,3.642616255405386,0.07300476738968342,3.140047296331132,0.1164078741655831,0.2154474967481677
